,Des'n,H_x,G,Epoch,M,Peri.,Node,Incl.,e,n,a,propa,da,prope,de,propsini,dsini,g,s,H_y,NumOpps
94,00095,8.03,0.15,K239D,8.91542,153.11024,242.93393,13.00561,0.1537238,0.18345719,3.0674646,3.068902,3.2e-06,0.127972,2.3e-06,0.237277,1.5e-06,70.438922,-76.002933,8.03,72
95,00096,7.7,0.15,K239D,41.02531,208.05874,321.48644,15.97873,0.1416777,0.18497529,3.0506584,3.052081,5.1e-06,0.184301,6e-06,0.284604,1.8e-06,57.43504,-77.507624,7.7,55
96,00097,7.85,0.15,K239D,313.08312,268.47801,159.62004,11.77839,0.2580617,0.22613521,2.6682341,2.668847,8.4e-06,0.238898,6.6e-06,0.209263,7.8e-06,46.066383,-63.264962,7.85,70
97,00098,8.99,0.15,K239D,124.05486,158.34795,353.89274,15.57628,0.1875296,0.22380291,2.6867395,2.686894,1.6e-06,0.244742,4e-05,0.262127,1.2e-05,40.644195,-61.896168,8.99,53
98,00099,9.51,0.15,K239D,247.0788,195.55873,41.40753,13.865,0.1974149,0.22688844,2.6623254,2.6636,5.5e-06,0.228722,2.1e-05,0.220155,1.7e-05,44.60429,-61.034772,9.51,47
99,00100,7.82,0.15,K239D,177.79711,183.77209,127.17236,6.43237,0.1685092,0.18164415,3.0878423,3.09455,4e-06,0.149722,2.4e-05,0.090999,5.2e-06,106.387682,-94.848288,7.82,82
100,00101,8.47,0.15,K239D,133.57557,347.89317,343.36881,10.19505,0.1410656,0.23752091,2.582269,2.58328,1.6e-07,0.109929,1.8e-05,0.179817,1.1e-05,45.393596,-48.478104,8.47,63
101,00102,9.51,0.15,K239D,253.90362,147.26461,210.76601,5.17426,0.2509738,0.22678856,2.663107,2.66212,0.00015,0.205766,9.2e-05,0.100623,0.00041,54.377158,-63.316539,9.51,63
102,00103,7.8,0.15,K239D,349.13715,189.44275,136.06741,5.41879,0.0791087,0.22198087,2.7014215,2.70208,6e-07,0.052803,0.00062,0.078068,0.0004,56.912352,-54.896001,7.8,80
103,00104,8.58,0.15,K239D,201.02208,31.67725,41.65869,2.78982,0.1620354,0.1767106,3.1450506,3.148056,7e-05,0.144449,3e-07,0.041999,4.9e-07,139.921429,-102.403793,8.58,78
